name,category,watts_avg,start_up_spike_w,revenue_if_running_rwf_per_h,status,revenue_density,timestamp,hour,p_outage,p_lower,p_upper,expected_duration_if_outage_min,power_cap_w,naive_full_on_revenue_rwf,planned_revenue_rwf,priority_rank
lights,critical,180,220,3500,ON,19.444444444444443,2026-04-23 00:00:00,00:00,0.0255960907835255,0.0158602687349608,0.0457930512781967,72.34307350580421,1940.0,19500.0,3500.0,0
phone_charging,critical,120,150,1800,ON,15.0,2026-04-23 00:00:00,00:00,0.0255960907835255,0.0158602687349608,0.0457930512781967,72.34307350580421,1940.0,19500.0,1800.0,0
cash_system,critical,90,120,2200,ON,24.444444444444443,2026-04-23 00:00:00,00:00,0.0255960907835255,0.0158602687349608,0.0457930512781967,72.34307350580421,1940.0,19500.0,2200.0,0
sewing_machine,comfort,350,500,6500,ON,18.571428571428573,2026-04-23 00:00:00,00:00,0.0255960907835255,0.0158602687349608,0.0457930512781967,72.34307350580421,1940.0,19500.0,6500.0,1
iron_press,luxury,1200,1600,5500,ON,4.583333333333333,2026-04-23 00:00:00,00:00,0.0255960907835255,0.0158602687349608,0.0457930512781967,72.34307350580421,1940.0,19500.0,5500.0,2
lights,critical,180,220,3500,ON,19.444444444444443,2026-04-23 01:00:00,01:00,0.0328328411848082,0.0209413181745609,0.0447359695016056,63.35102749521469,1940.0,19500.0,3500.0,0
phone_charging,critical,120,150,1800,ON,15.0,2026-04-23 01:00:00,01:00,0.0328328411848082,0.0209413181745609,0.0447359695016056,63.35102749521469,1940.0,19500.0,1800.0,0
cash_system,critical,90,120,2200,ON,24.444444444444443,2026-04-23 01:00:00,01:00,0.0328328411848082,0.0209413181745609,0.0447359695016056,63.35102749521469,1940.0,19500.0,2200.0,0
sewing_machine,comfort,350,500,6500,ON,18.571428571428573,2026-04-23 01:00:00,01:00,0.0328328411848082,0.0209413181745609,0.0447359695016056,63.35102749521469,1940.0,19500.0,6500.0,1
iron_press,luxury,1200,1600,5500,ON,4.583333333333333,2026-04-23 01:00:00,01:00,0.0328328411848082,0.0209413181745609,0.0447359695016056,63.35102749521469,1940.0,19500.0,5500.0,2
lights,critical,180,220,3500,ON,19.444444444444443,2026-04-23 02:00:00,02:00,0.0423368402397595,0.0371129638583519,0.0613523505103785,73.99471316632602,1940.0,19500.0,3500.0,0
phone_charging,critical,120,150,1800,ON,15.0,2026-04-23 02:00:00,02:00,0.0423368402397595,0.0371129638583519,0.0613523505103785,73.99471316632602,1940.0,19500.0,1800.0,0
cash_system,critical,90,120,2200,ON,24.444444444444443,2026-04-23 02:00:00,02:00,0.0423368402397595,0.0371129638583519,0.0613523505103785,73.99471316632602,1940.0,19500.0,2200.0,0
sewing_machine,comfort,350,500,6500,ON,18.571428571428573,2026-04-23 02:00:00,02:00,0.0423368402397595,0.0371129638583519,0.0613523505103785,73.99471316632602,1940.0,19500.0,6500.0,1
iron_press,luxury,1200,1600,5500,ON,4.583333333333333,2026-04-23 02:00:00,02:00,0.0423368402397595,0.0371129638583519,0.0613523505103785,73.99471316632602,1940.0,19500.0,5500.0,2
lights,critical,180,220,3500,ON,19.444444444444443,2026-04-23 03:00:00,03:00,0.0312158058254634,0.0306137770752107,0.0436664087499343,64.67201395541935,1940.0,19500.0,3500.0,0
phone_charging,critical,120,150,1800,ON,15.0,2026-04-23 03:00:00,03:00,0.0312158058254634,0.0306137770752107,0.0436664087499343,64.67201395541935,1940.0,19500.0,1800.0,0
cash_system,critical,90,120,2200,ON,24.444444444444443,2026-04-23 03:00:00,03:00,0.0312158058254634,0.0306137770752107,0.0436664087499343,64.67201395541935,1940.0,19500.0,2200.0,0
sewing_machine,comfort,350,500,6500,ON,18.571428571428573,2026-04-23 03:00:00,03:00,0.0312158058254634,0.0306137770752107,0.0436664087499343,64.67201395541935,1940.0,19500.0,6500.0,1
iron_press,luxury,1200,1600,5500,ON,4.583333333333333,2026-04-23 03:00:00,03:00,0.0312158058254634,0.0306137770752107,0.0436664087499343,64.67201395541935,1940.0,19500.0,5500.0,2
lights,critical,180,220,3500,ON,19.444444444444443,2026-04-23 04:00:00,04:00,0.0412392187351827,0.0154409080097057,0.0627148516977388,105.0189898604527,1940.0,19500.0,3500.0,0
phone_charging,critical,120,150,1800,ON,15.0,2026-04-23 04:00:00,04:00,0.0412392187351827,0.0154409080097057,0.0627148516977388,105.0189898604527,1940.0,19500.0,1800.0,0
cash_system,critical,90,120,2200,ON,24.444444444444443,2026-04-23 04:00:00,04:00,0.0412392187351827,0.0154409080097057,0.0627148516977388,105.0189898604527,1940.0,19500.0,2200.0,0
