timestamp,load_mw,temp_c,humidity,wind_ms,rain_mm,outage,duration_min
2025-10-26 00:00:00,59.796,23.73,62.64,2.93,0.0,0,0.0
2025-10-26 01:00:00,59.044,21.15,61.0,2.77,0.0,0,0.0
2025-10-26 02:00:00,60.141,22.27,57.44,3.46,0.0,0,0.0
2025-10-26 03:00:00,57.183,21.46,57.2,2.74,0.0,0,0.0
2025-10-26 04:00:00,56.681,17.03,61.34,3.34,0.0,0,0.0
2025-10-26 05:00:00,59.952,16.98,58.26,4.22,0.0,0,0.0
2025-10-26 06:00:00,62.057,18.06,61.79,4.59,0.0,0,0.0
2025-10-26 07:00:00,66.099,17.12,71.25,3.19,0.0,0,0.0
2025-10-26 08:00:00,65.726,17.35,70.06,3.21,0.0,0,0.0
2025-10-26 09:00:00,69.197,16.48,63.69,4.57,0.0,0,0.0
2025-10-26 10:00:00,64.547,18.96,65.26,3.01,0.0,0,0.0
2025-10-26 11:00:00,65.45,19.47,64.83,3.68,2.66,0,0.0
2025-10-26 12:00:00,67.147,19.45,68.76,2.32,0.0,0,0.0
2025-10-26 13:00:00,60.044,21.68,58.53,1.96,0.0,0,0.0
2025-10-26 14:00:00,66.318,21.93,59.29,1.27,0.0,0,0.0
2025-10-26 15:00:00,62.32,21.37,59.7,1.7,0.0,0,0.0
2025-10-26 16:00:00,65.001,23.81,54.33,1.72,0.0,0,0.0
2025-10-26 17:00:00,68.941,23.05,58.89,0.13,0.0,0,0.0
2025-10-26 18:00:00,76.737,25.89,65.64,0.49,0.0,0,0.0
2025-10-26 19:00:00,79.2,25.17,66.58,1.3,0.0,0,0.0
2025-10-26 20:00:00,78.427,25.15,54.56,0.82,0.0,0,0.0
2025-10-26 21:00:00,76.048,24.41,60.22,0.84,0.0,0,0.0
2025-10-26 22:00:00,71.788,26.3,57.94,2.06,0.0,0,0.0
2025-10-26 23:00:00,64.377,24.01,60.93,2.47,1.52,0,0.0
2025-10-27 00:00:00,63.213,22.87,62.6,1.93,4.1,0,0.0
2025-10-27 01:00:00,65.178,21.99,55.11,2.72,0.0,0,0.0
2025-10-27 02:00:00,68.102,22.02,67.42,2.22,0.0,0,0.0
2025-10-27 03:00:00,62.317,20.78,70.13,2.72,0.0,0,0.0
2025-10-27 04:00:00,68.243,19.88,65.88,3.57,0.0,0,0.0
2025-10-27 05:00:00,61.473,19.07,66.47,3.67,0.0,0,0.0
2025-10-27 06:00:00,69.306,20.49,63.63,3.12,0.0,0,0.0
2025-10-27 07:00:00,69.859,17.03,62.8,3.22,0.0,0,0.0
2025-10-27 08:00:00,71.416,16.77,60.18,2.86,0.0,0,0.0
2025-10-27 09:00:00,73.509,16.54,66.84,3.53,0.0,0,0.0
2025-10-27 10:00:00,71.085,18.66,57.48,1.77,3.48,0,0.0
